title,movie_num,summary,actor_list,rating,rating_cnt,info1,info2
남은 인생 10년,0,"매일 밤, 눈 감기가 두려웠던 난치병 환자 ‘마츠리’매일 아침, 눈 뜨기가 두려웠던 외톨이 ‘카즈토’ 운명은 정반대에 있던 두 사람을 마주 보게 한다.처음 만난 봄,많이 웃은 여름,더욱 깊어진 가을,소중해서 아팠던 겨울까지남은 인생을 진정으로 사랑하게 해준 너에게 감사해","['후지 미치히토(감독)', '고마츠 나나(주연 | 마츠리)', '사카구치 켄타로(주연 | 카즈토)', '야마다 유키(조연)', '나오(조연)', '이구치 사토루(조연)', '쿠로키 하루(조연)', '타나카 테츠지(조연)', '하라 히데코(조연)', '릴리 프랭키(조연)', '마츠시게 유타카(조연)']",3.3,"(5,852명)",2022 · 드라마/로맨스 · 일본,2시간 4분 · 12세
달짝지근해: 7510,1,"타고난 미각 100%, 현실 감각은 0% 제과 연구원 ‘치호’(유해진). 과자밖에 모르는 치호 앞에 직진밖에 모르는 세상 긍정 마인드 ‘일영’(김희선)이 나타나고, 치호는 인생의 새로운 맛을 알아가기 시작한다. 여기에 염치없고 철까지 없는 형 ‘석호’(차인표), 자아도취 제과회사 사장 ‘병훈’(진선규), 예측불가한 과몰입러 ‘은숙’(한선화)까지 제대로 엮이게 된 치호. 매일 쳇바퀴 같은 삶을 살던 그의 인생이 버라이어티한 변화로 뒤덮이기 시작하는데...OMG 세상에 이런 맛이!올여름, 달짝지근해진 그가 온다!","['이한(감독)', '유해진(주연 | 치호)', '김희선(주연 | 일영)', '차인표(조연 | 석호)', '진선규(조연 | 병훈)', '한선화(조연 | 은숙)', '정다은(조연 | 진주)', '이한솔(조연)']",2.9,(1.2만명),2022 · 코미디/드라마 · 한국,1시간 58분 · 12세
폭로,2,"신출내기 변호인과 은밀한 피고인의 진실게임 모든 것을 뒤집는 ‘폭로’! 코와 입이 본드로 막힌 채 잔혹하게 살해된 남성. 유력한 용의자로 체포된 사망한 남성의 배우 출신 아내 성윤아. 살해 계획이 적힌 다이어리와 남편 앞으로 든 보험, 모든 증거와 함께 사건은 일단락되는 듯싶었지만, 국선변호인 이정민이 변호를 맡자 성윤아가 범행을 부인하며 진술을 번복하면서 사건은 또 다른 국면으로 접어드는데…","['홍용호(감독)', '유다인(주연 | 윤아)', '강민혁(주연 | 정민)', '공상아(조연 | 은주)', '정새별(조연 | 이지영)', '임승범(조연 | 검사)', '주보영(조연 | 수아)', '곽자형(조연 | 황과장)', '조셉(조연 | 정계장)', '이소윤(조연)', '강길우(특별출연 | 서점주인)']",2.1,(673명),2022 · 드라마 · 한국,1시간 41분 · 12세
어디로 가고 싶으신가요,3,"어느 봄날, 갑작스러운 사고로 남편인 ‘도경’을 잃은 ‘명지’는 슬픔에서 벗어나기 위해 폴란드 바르샤바로 잠시 떠난다. 하지만 ‘도경’의 소식을 모르는 대학 동창 ‘현석’과의 재회에 ‘명지’는 낯선 곳에서 불쑥불쑥 남편과의 추억을 마주하게 되는데…한편, 같은 사고로 단짝 친구인 ‘지용’과 이별한 ‘해수’는 곳곳에 남겨진 친구의 빈자리를 느끼며 하나뿐인 동생을 잃고 몸이 마비된 ‘지용’의 누나 ‘지은’을 돕는다. 그러던 중 ‘해수’는 ‘지은’에게 새 편지지와 함께 ‘명지’의 주소를 건네는데…홀로 남겨진 나와 당신에게 들려주고 싶은 다정한 말 한마디 “어디로 가고 싶으신가요”","['김희정(감독)', '정민주(주연 | 지은)', '박하선(주연)', '김남희(조연)', '전석호(조연)', '문우진(조연)', '김보라(조연)', '송영규(조연)', '이규회(조연)', '이선규(조연)', '김희정(조연)', '김정철(조연 | 지용)']",2.8,(851명),"2023 · 드라마 · 한국, 폴란드",1시간 43분 · 12세
만해 한용운 님의침묵,4,"1.만해 한용운 (1899년~1944년) 독립운동가인가 하면 시인이요 시인가면 대사상가요 대사상가인가하면 어느새 독립운동가로 변해버린다2.타이틀 빽고찰 강원도 인제에 위치한 백담사에서 삭발수계식을 하는 만해(27세) 경건하게 출가를 한다.3.홍주성(지금 홍성)에서 동학란(동학농민운동)이 일어난다 16세의 몸으로 동학란에 참여하는 소년 만해 1천냥을 탈취하여 군자금으로 보내는 활동을 한다.4.그러나 관군에게 쫓기는 몸이 된 만해는 2년 동안을 전국사찰(범어사 통도사 수덕사 천마사 표선사 융흥사)을 순례하며 수련을 한다.5. 19세가 되던 해 만해는 오세암에 들어가서 본격적인 수행을 시작하며 팔만대장경을 독파한다.5-1 오세암이 모이는 언덕에서 만해는 화영과 길상을처음 만나서 동행의 시작이 되었다.화영은 이때 부터 만해의 책사가 되었다.6. 1879년 8월29일 충남 홍성군 결성면 성곡리에서 출생한다. (본명 한정옥 아명 유천)7.어린시절(회상) 5세부터 신동으로 다른 아이들은 천자문자를 배울때 어린 만해는 한학 대학 통감을 통달한다.8. 14세 되던 해에 만해는 풍습에 따라 혼례를 (초혼신부/전정숙) 치룬다.9.만해 한용운은 러시아 블라디보스톡에 불교를 전파하려고 갔다가 엄인섭(보스)을 만나 불교를 전파하지도 못하고  죽음에 까지 이른다. 마피아 보스 엄인섭의 배려로 배편을 마련해주어 무사히 고국 조선으로 돌아 온다.10.만해 한용운을 일본 교토 총무원에 간다일본 문화와 불교를 배우러간다.11.인도에 가서 마하트마 간디(인권운동가)를 만나무저항 비폭력운동으로 맨손으로 시위 하는 것을 배워 온다.12. 25세가 되면서 혼란한 조선을 위하여 무언가 일을 하겠다는 생각으로 러시아 해삼위(블라디보스톡)으로 갔으나 일본 일진회 회원으로 오인을 받아 쫓겨나듯 귀국을 한다.13. 그후 27세 백담사에서 수계를 한후 정식으로출가를 한다.한정옥 이라는 속세명은 버리고 법명 용운으로이름이 지어진다.14. 29세 설악산 신흥사 건봉사 백담사에서 수거안거를 하며 섬을 닦는다.15. 30세에 전국 승려자 대표로 일본 교토에 가서일본 각지를 다닌다.16. 일본에서 조선 총독부 총감 딸 사찌코 (동경지방검찰청 특수부검사) 조선으로 파견되어 유관순 외 독립운동가들을  심문하고 경성신보사 조선인들의 기사를 저지하고만해 한용운 만세 운동을 저지 한다.17. 33세 되던해 조선의 독립을 도모하기 위하여중국 만주 동북삼성에 들어가서 일본 고위층 암살 작전에 가담하는 독립운동에 기여한 뒤 귀국을 한다.18. 만해는 중국 여성독립운동가 링링과만주 군관학교 교장을 만나 군자금을 전달한다. 19.연길 하얼빈 송화강 청산리에서 일본군과 치열한전투를 한다.20. 만해는 기미년 3.1절 정오에 만세 부르기로전국 사찰에 전달한다.중국군과 독립군의 연합작전으로 전투를 한다.청산리 전투에서 화영과 길상이 전투에 참여하여조선 독립군으로서 전투를 치룬다.21. 전국 사찰에서 만세 운동을 함께 한다.22.만해 한용운의 부탁을 받고 이회영 비서(필녀)전국 사찰을 돌며 독립 만세를 부르기로 결의한다.23. 곡성 역에서 만주로 가던 열차에서 일본 헌병에게검문을 당한다.여성 독립운동가 설도영의 도움으로 검문을 피한다. (설도영은 가짜 신분증 조선총독부 감찰부장) 신분증 덕에 군자금 운송할때 검문을 피하게 되었다.24. 41세 기미년 3.1운동에 독립선언서를 33인의 대표로 발표를 한 뒤 구속을 당한다.서대문 형무소에 감금당하여 유관순을 만나면서공감을 형성한다.갖은 고문끝에 만해와 유관순을 각각 징역3년형 5년형을 받았지만 유관순은 끝내 장독으로 옥사를 한다.(1920년 9월20일 유관순 사망)25. 일본인 국선변호인 하루미는 만해 변호사 미츠코 유관순을 변호하는데 최선을 다한다.26. 33인중 만해를 제외한 32인은 일본천황페하의 특명으로 형기를 절반으로 감형된다.만해는 감형을 거부하며 감형없는 만기 3년을 채우고 출소한다.27. 출옥 후 만해는 논문, 시, 소설 등을 집필하며 지내다가 '님의 침묵'을 발표한다.28. 이회영은 출소후에도 만해 한용운을 계속 돕는다. 야마모토 기무라 사또 만해를 계속 감시한다.29. 51세 되던 해 광주학생운동사건이 전국적으로 확대하자  만해는 뒤에서 학생운동을 후원하다가 경찰의 요시찰 인물로 감시를 받는다.30. 만해 한용운은 합천 용주사 무상스님으로부터인도에 가서 인권운동가 마하트마 간디 선생을만나라고 권한다.만해 한용운은 화영과 길상도 함께 인도에 가서마하트마 간디 선생을 만나 비폭력 무저항 운동을전해 받는다.만해는 유관순과 함께 비폭력 무저항운동은 3.1만세 운동의 모델이 되었다.31. 만주공원 조선 총독부 총감 창씨개명 만세 운동에 조선인들을 저지해달라고 한다.여성독립운동가 설도영, 도시락(벤또) 폭탄을 조선총독부 총감에게 던진다.32. 55세 성북동에 있는 심우장에서 만해는 집필과 함께 창씨개명 반대를 하는 조선인들과 함께 한다.만해는 55세 재혼(유숙원)을 한다.아내는 삸 바느질 등으로 생활을 영위하면서만해는 집필과 함께 창씨 개명 반대운동,  조선에 학도병 출정 반대 운동 등을 참여하여일제의 항거를 계속한다.   32-1. 요정 명월관 백화대방에게서 군자금을 넘겨 받는다.32-2. 이회영은 군자금을 만해와 함께 건넨다.32-3. 1944년 만해는 66세를 일기로 업적으로 타계하고 만다.32-4. 에필로그 '님의 침묵' 시간 흐르며 만해의 업적이      하이라이트로 소개되면서 자막 이 흐른다.32-5. 하얀 소복을 입은 여인들 살풀이 춤을 춘다.","['한명구(감독)', '오안진(주연 | 만해 한용운)', '이소망(조연 | 만해 책사 화영)', '정혜선(조연 | 만해 한용운 모친)', '배민주(조연 | 경성진방검찰청특수부검사)', '김현정(조연 | 여성독립운동가 설도영)', '서지우(조연 | 유관순)', '김희라(조연 | 대각사스님)', '김동현(조연 | 러시아 마피아 보스)', '안병경(조연 | 경성복심법원 부장판사)', '노현희(조연 | 낭낭클럽 대방)', '김형일(조연 | 만주군관학교 교장)', '이회영(조연 | 이희영부호)', '유영미(조연 | 만해한용운 처 유숙원)', '롼찌엔화(조연 | 중국여성독립운동가)', '김희영(조연 | 일본 종무원장)', '이준서(조연 | 어린 만해 한용운)', '신희나(조연 | 유관순 변호인 미치코)', '최종문(조연 | 만해 한용운 변인 하루미)', '한우진(조연 | 만해 수행원 길상)', '김소린(조연 | 경성감옥소보안방장)', '김유리(조연 | 일본 종무원부원장)', '박윤근(조연 | 만주군관학교 부교장)', '김재근(조연 | 백담사 큰스님)']",2.0,(12명),2022 · 드라마 · 한국,2시간 24분 · 15세
나비효과,5,"노래면 노래, 춤이면 춤! 못 하는 게 없는 밴드 ‘나비효과’의 보컬 ‘주연’(홍수아). 현실에 치여 음악을 그만 둔 그녀 앞에, 별안간 아버지의 시한부 선고가 쿵! 떨어진다. 시한부 아버지의 마지막 소원은 바로, 죽기 전에 ‘주연’의 모습을 TV에서 보는 것! ‘주연’은 아버지의 마지막 소원을 들어드리기 위해, 천재 기타리스트이자 친구인 ‘승기’(윤성모)와 함께 다시 무대에 서기로 결정하는데…빽 없음, 열정 있음!인디밴드 ‘나비효과’의 성공을 향한 도전이 시작된다!","['민준기(감독)', '전원창(감독)', '홍수아(주연)', '윤성모(주연)', '안정훈(주연)', '송민경(주연)']",1.9,(43명),2022 · 드라마 · 한국,1시간 34분 · 12세
울지마 엄마,6,"""하나님. 조금만 더 살게 해주세요...""  행복한 나날을 보내던 세 가정에 청천벽력처럼 찾아온 암 소식. 누군가의 남편이자 아내 그리고 누군가의 부모인 세 엄마는 죽음에 대한 두려움 보다 남은 가족들에 대한 걱정만 가득하다. 생과 사의 갈림길에 서 있는 4기 암 환자들. 그들의 마지막 여정을 카메라에 담는다.",['이호경(감독)'],2.9,(42명),2022 · 다큐멘터리 · 한국,1시간 18분 · 전체
연악: 나의 운명,7,"조선 초기, 예악으로 나라의 기틀을 세우던 시대. 대왕 세종은 천재 음악가 ‘박연’에게 조선의 음률을 바로 세우라는 어명을 내린다. ‘박연’은 어명을 받들어 밤낮으로 연구에 몰두하지만 어려운 환경 속에서 좌절을 반복하게 된다. 곁에서 그를 연모하던 가야금 명인 ‘백아’의 고백에도 ‘박연’의 마음은 더욱 혼란스럽기만 한데…조선의 음악사를 뒤흔든 천재 음악가 난계 ‘박연’ 음악이 전부였던 그의 삶에 새로운 역사가 펼쳐진다!","['박한열(감독)', '정욱(주연 | 박연)', '송민경(주연 | 백아)', '손건우(주연)', '이영욱(조연 | 비름)', '박근수(조연 | 신상)', '서문경(조연 | 이보배)']",1.8,(24명),2022 · 시대극/드라마 · 한국,1시간 53분 · 전체
어느 날 그녀가 우주에서,8,만년 취준생 ♥ 외계 소녀 은하계를 넘어선 우주적 교감이 시작된다!  머리에 숟가락을 꽂고 외계와 교신하는 나은에게 첫눈에 반한 만년 취준생 석민. 우연히 나은의 비밀을 알게 되며 그녀와 가까워지지만 나은은 곧 자신의 별로 돌아가야 한다. 이대로 물러날 수 없다! 석민은 나은을 붙잡기 위한 특별한 이벤트를 펼치는데..!올해 가장 기발한 탈지구 로맨스가 시작된다!,"['구상범(감독)', '백서빈(주연 | 석민)', '신연서(주연 | 나은)', '서지영(조연 | 나은엄마)', '김영(조연 | 경수)', '최훈재(조연 | 준혁)', '이상희(조연 | 동네수퍼 주인)', '지웅배(조연 | 김철)', '김남진(조연 | 석민엄마)', '김시원(조연 | 유기견보호소 직원)', '이문빈(조연 | 군대선임)', '신현숙(조연 | 나은엄마 경호원)', '김승민(조연 | 김경장)', '노경덕(조연 | 노순경)', '박종보(조연 | 공원경비원)', '신승용(조연 | 면접관이사)', '전정일(조연 | 면접관대표)', '공서연(조연 | 김철 여친)', '이예준(조연 | 어린 석민)', '박노경(조연 | 당구지인)', '황대웅(조연 | 당구지인친구)', '홍승일(조연 | 남자외계인)', '권오숙(조연 | 여자외계인)', '소윤호(조연 | 젊은 의사)']",3.0,(777명),2022 · 로맨틱 코미디/로맨스 · 한국,1시간 43분 · 12세
3일의 휴가,9,"“따님은 어머님을 보거나 목소리를 들을 수 없고요.그냥 따님의 행복한 기억만 담고 오시면 됩니다.""죽은 지 3년째 되는 날, ‘복자’(김해숙)는 하늘에서 3일간의 휴가를 받아 규칙 안내를 맡은 신입 ‘가이드’(강기영)와 함께 지상에 내려온다. 미국 명문대학교 교수인 자랑스러운 딸을 볼 생각에 설레던 마음도 잠시, 돌연 자신이 살던 시골집으로 돌아와 백반 장사를 시작한 ‘진주’(신민아)의 모습에 당황한다. 속 타는 엄마의 마음도 모르는 ‘진주’는 자신을 찾아온 단짝 ‘미진’(황보라)과 엄마의 레시피를 찾아가고, 낯익은 요리를 보자 서로의 추억이 되살아나는데…","['육상효(감독)', '김해숙(주연 | 박복자)', '신민아(주연 | 방진주)', '강기영(조연 | 가이드)', '황보라(조연 | 미진)', '차미경(조연 | 춘분)', '박명훈(조연 | 용식)', '배해선(조연 | 젊은 복자)', '김현수(조연 | 고등학생 진주)', '박예린(조연 | 어린 진주)', '정라엘(조연 | 알바생)', '박정언(조연 | 외숙모)', '김기천(조연 | 김노인)']",2.9,"(4,815명)",2023 · 판타지/드라마/가족 · 한국,1시간 45분 · 12세
