title,movie_num,summary,actor_list,rating,rating_cnt,info1,info2
비더원: 비퍼스트 더 무비,300,"2021년 J-POP 오디션 프로그램 에서 치열한 경쟁을 뚫고 마침내 데뷔한 일곱 멤버 BE:FIRST. 일본을 넘어 전 세계 무대를 목표로 향해가는 일곱명은 이제 막 첫발을 내디뎠을 뿐이지만, 함께라면 두려울 것은 없다. 땀과 눈물, 긴장과 설렘, 열정과 환희로 가득 찬 첫 투어를 ScreenX로 생생하게 담았다. 콘서트 준비 과정부터 백스테이지, 그리고 기다렸던 팬들과 함께하는 무대 위 순간까지, BE: FIRST의 찬란한 꿈의 여정을 함께한다. 2021년 데뷔부터 첫 콘서트까지, 모든 순간을 함께한 멤버들과 팬들에 대한 진심을 말하는 BE: FIRST. 하나의 목표를 위해,우리의 꿈을 위해 일곱 멤버 BE: FIRST와 BESTY는 이 순간, 하나가 된다.","['오윤동(감독)', '김하민(감독)', '소타(출연)', '슌토(출연)', '마나토(출연)', '류헤이(출연)', '쥬논(출연)', '미야마 료키(출연)', '레오(출연)']",1.8,(2명),"2023 · 다큐멘터리/음악 · 일본, 한국",1시간 44분 · 전체
킹 오브 킬러스,301,"전 세계 No 1. 킬러들의 생존 게임 세계 최고의 킬러들 앞으로 초대장이 도착한다. 한 곳에 모인 킬러들은 킬러들의 왕을 암살하고 최고의 킬러를 가리는 시합에 초청된 것. 생존 게임이 시작되면, 단 한 놈만 살아남는다!역대급 킬러 서바이벌을 만난다!최후의 승자를 확인하라!","['케빈 그레비스(감독)', '프랭크 그릴로(주연)', '알랭 머시(주연)', '스티븐 도프(조연)', '마리 아브게로폴로스(조연)', '조르주 생 피에르(조연)', '케빈 그레비스(조연)', '섀넌 쿡(조연)']",2.8,(7명),"2023 · 액션/스릴러 · 미국, 캐나다",1시간 30분 · 청불
팟 제너레이션,302,"임신/출산 2.0이제는 팟이 대신 낳아드립니다. 기술이 자연을 능가하게 된 머지않은 미래. 거대 테크회사 임원 레이철이 승진을 하며 모두가 탐내는 최첨단 자궁센터의 예약 기회를 얻는다. 인공 자궁인 ‘팟’을 통해 임신과 출산이 편리해지고 평등하게 공유할 수 있는 경험이 된 것! 흙과 자연을 사랑하는 식물학자 남편 앨비는 이 ‘자연스럽지’ 못한 과정에 반기를 들지만, 이내 레이철에 대한 사랑으로 팟 출산을 감행하기로 한다. 알을 닮은 인공 자궁 팟, 모니터링 앱, AI 상담사까지!상상할 수 없던 ‘팟 제너레이션’ 부모 되기 여정이 지금 펼쳐진다!","['소피 바르트(감독)', '에밀리아 클라크(주연)', '추이텔 에지오포(주연)', '로잘리 크레이그(조연)', '비넷 로빈슨(조연)', '장-마크 바(조연)', '캐스린 헌터(조연)', '켄 사무엘스(조연)', '엘케 샤리 반 덴 브록(조연)', '애슐리 존슨(조연)']",3.2,"(2,444명)","2023 · 코미디/SF/로맨스 · 프랑스, 벨기에, 영국",1시간 49분 · 12세
유앤미앤미,303,"‘유'와 ‘미'는 하루하루의 모든 순간을 함께하며 모든 것을 나누는 일란성쌍둥이 소녀들이다. 어느 날 ‘미'가 ‘유'를 대신해 수학 시험을 보러 갔다가 ‘마크’라는 소년에게 연필을 빌리게 되는데 둘은 서로에게 두근거림을 느끼게 된다. ‘유'와 ‘미‘는 시골 할머니 집에서 여름방학을 보내게 되고 ‘유'는 혼자 전통악기 수업을 들으러 갔다가 우연히 자신을 ‘미’로 오해하고 자신에게 말을 거는 소년 ‘마크’를 만난다. ‘유’는 ‘마크’에게 한눈에 반해 그에게 시험장에서 만난 게 자신이 아니라고 털어놓지 못하고, ‘미’는 ‘마크’에게 반해버린 ‘유’를 보며 ‘마크’를 향한 자신의 마음을 애써 감춘다. 그렇게 평생 모든 걸 함께 나누며 살 것 같았던 쌍둥이들에게 나눌 수 없는 첫사랑이 찾아온다.","['완와우 홍바이배타나(감독)', '위안 홍비바타나(감독)', '티티야 지라폰실프(주연)', '안토니 뷔세레(주연)', '수파크손 차이몽콜(조연)', '오프로드 칸타폰 진다타위폴(조연)']",2.9,(120명),2023 · 드라마/로맨스 · 태국,2시간 1분 · 전체
더 킬러,304,"운명을 가를 상황에서 아슬아슬하게 표적을 놓친 암살자. 세계를 넘나드는 추격전에서 고용주들, 그리고 자기 자신과 사투를 벌인다. 하지만 그는 이 모든 일에 자신의 사적 감정은 개입되지 않았다고 믿고 있는데.","['데이빗 핀처(감독)', '마이클 패스벤더(주연 | 킬러)', '틸다 스윈튼(조연)', '찰스 파넬(조연)', '알리스 하워드(조연)', '소피 샬롯(조연)', '모니크 갠더턴(조연)', '케리 오맬리(조연)', '살라 베이커(조연)']",3.3,(1.3만명),2023 · 액션/모험/범죄/스릴러/드라마 · 미국,1시간 53분 · 15세
괴담만찬,305,소원을 이루기 위해 무심코 한 댄스 챌린지 한강 다리 밑 목 꺾인 도플갱어가 알려준 입시 비법 잭팟 터트린 후 절대 가면 안 되는 ◆◆모텔 307호의 비밀 고급 ●●아파트 입주민 전용 헬스장의 금기■■연구실에서 현재 진행 중인 잔인한 실험구독자 154만 먹방 BJ가 라이브 중 저지른 돌출 행동욕망에 눈먼 이들에게 닥친 죽음보다 더한 공포!,"['안상훈(감독)', '윤은경(감독)', '김용균(감독)', '임대웅(감독)', '채여준(감독)', '김태훈(주연)', '조재윤(주연)', '윤현민(주연)', '장광(주연)', '손지나(주연)', '이주영(주연)', '김주령(주연)', '신은수(주연)', '김호정(주연)', '장승연(주연)', '오승희(주연)', '장예은(주연)', '최수임(주연)', '박진아(주연)', '송재하(주연)', '이솔아(주연)']",1.9,(281명),2023 · 공포 · 한국,1시간 57분 · 15세
사나: 저주의 아이,306,"“내 노래를 들어줘…”방송국 창고에서 발견된 오래된 카세트테이프. 그 안에 담긴 정체불명의 허밍 소리를 들은 방송국 관계자들이 실종되기 시작하고, 인기 아이돌 ‘제너레이션즈’ 마저 테이프를 접한 후 저주 같은 공포에 시달린다. 급기야 콘서트를 앞두고 멤버가 실종되는 사태에 이르는데… 매니저는 상황을 해결하기 위해 급히 탐정을 고용하고 테이프에 얽힌 한 소녀의 미스터리한 사연을 마주한다.모든 것은 카세트테이프에서 시작됐다!재생하는 순간, 봉인된 ‘저주의 멜로디’가 깨어난다!","['시미즈 다카시(감독)', '시라하마 아란(주연)', '카타요세 료타(주연)', '코모리 하야토(주연)', '사노 레오(주연)', '세키구치 멘디(주연)', '나카츠카 유타(주연)', '카즈하라 류토(주연)', '하야미 아카리(조연)', '호시 토모코(조연)', '아마노 하나(조연)', '야마카와 마리카(조연)', '마키타 스포츠(조연)']",1.8,(498명),2023 · 공포 · 일본,1시간 42분 · 15세
블루 자이언트,307,"“세계 최고가 될 거야, 반드시” 언제나 강가에서 홀로 색소폰을 불던 고등학생 ‘다이’는 세계 최고의 재즈 플레이어에 도전하기 위해 도쿄로 향한다. “실력이 안 되면 같이 안 할 거니까”우연히 재즈 클럽에서 엄청난 연주 실력을 뽐내는 천재 피아니스트 ‘유키노리’를 만나 밴드 결성을 제안하고, “나도 드럼을 칠 수 있을까?”‘다이’의 고등학교 동창이자 평범한 대학생이던 ‘슌지’가 열정 가득한 초보 드러머로 합류하면서 밴드 ‘JASS 재스’가 탄생한다.“전력을 다해 연주하자! 분명 전해질 거야”목표는 최고의 재즈 클럽 ‘쏘 블루’! 10대의 마지막 챕터를 바친 JASS 재스의 격렬하고 치열한 연주가 지금, 바로, 여기서 시작된다!","['타치카와 유즈루(감독)', '야마다 유키(성우)', '마미야 쇼타로(성우)', '오카야마 아마네(성우)']",3.8,(1.0만명),2023 · 애니메이션/음악 · 일본,2시간 00분 · 12세
플라워 킬링 문,308,"‘플라워 킬링 문’은 진정한 사랑과 말할 수 없는 배신이 교차하는 서부 범죄극으로 ‘어니스트 버크하트’(레오나르도 디카프리오)와 ‘몰리 카일리’(릴리 글래드스톤)의 이루어질 수 없는 로맨스를 중심으로 오세이지족에게 벌어진 끔찍한 비극 실화를 그려낸다. 데이비드 그랜 작가의 베스트셀러 소설을 원작으로 아카데미를 수상한 거장 마틴 스코세이지 감독이 연출과 각본을 맡았으며, 에릭 로스가 각본에 함께 참여했다.","['마틴 스콜세지(감독)', '레오나르도 디카프리오(주연 | 어니스트 버크하트)', '로버트 드 니로(조연 | 윌리엄 헤일)', '릴리 글래드스톤(조연 | 몰리 버크하트)', '제시 플레몬스(조연 | 톰 화이트)', '탄투 카디날(조연 | 리지 Q)', '존 리스고(조연 | 리워드)', '브렌든 프레이저(조연 | 해밀턴)', '카라 제이드 마이어(조연 | 아나 카일 브라운)', '자네 콜린스(조연 | 리타)', '질리언 디옹(조연 | 미니)', '제이슨 이스벨(조연 | 빌 스미스)', '윌리엄 벨류(조연 | 헨리 로운)', '스콧 쉐퍼드(조연 | 브라이언)', '타탄카 민스(조연 | 존 렌)', '에릭 파킨슨(조연)', '베리 코빈(조연)', '루이스 캔셀미(단역)', '스터질 심슨(단역)', '팻 힐리(단역)', '마이클 애봇 주니어(단역)', '잭 화이트(단역)', '스티브 이스틴(단역)', '마틴 스콜세지(까메오)']",3.9,(1.7만명),2023 · 범죄/드라마/역사/미스터리/스릴러/서부극 · 미국,3시간 26분 · 청불
모딜리아니,309,"1919년 파리, 뜨겁고 파괴적이었던 세기의 예술가 ‘모딜리아니’는 술과 마약에 중독되어 방탕하고 동료 예술과들과 종잡을 수 없는 기행을 일삼는다.“당신을 영혼까지 알게 되면, 그때 눈동자를 그릴게요”어느 날, ‘모딜리아니’는 아름다운 ‘잔’에게 매료되어 운명적인 사랑에 빠진다. ‘잔’은 ‘모딜리아니’에게 영감을 주는 뮤즈로 그는 더욱 작품 활동에 몰두하게 된다. 하지만 아이를 낳은 ‘잔’은 이어지는 궁핍한 생활에 지쳐가고, ‘피카소’를 찾아가 전시회에 ‘모딜리아니’의 그림을 걸어달라고 부탁하면서 사이가 좋지 않았던 그들의 갈등은 더욱 심해진다. ‘모딜리아니’는 약물과 알코올 중독 증세로 건강마저 악화되면서 점점 엉망진창이 된다. 그는 파리에서 매년 개최되는 상금이 걸린 미술 경연대회에 작품을 내기로 결심하고, 애증의 라이벌 ‘피카소’까지 참가한다는 소식에 파리가 들썩이기 시작하는데…","['믹 데이비스(감독)', '앤디 가르시아(주연 | 아마데오 모딜리아니)', '엘자 질베르슈타인(주연 | 잔 에뷔떼른느)', '이폴리트 지라르도(조연 | 모리스 위트릴로)', '오미드 다릴리(조연 | 파블로 피카소)', '에바 헤르지고바(조연)', '우도 키에르(조연)', '스티번 림커스(조연)', '댄 애스틸레누(조연)', '테오도르 다네티(조연)', '크리스티나 피아제(조연)', '조 드라고(조연)', '수지 에이미(단역)', '피터 카팔디(단역)', '짐 카터(단역)', '베아트리스 치리악(단역)', '시프리언 듀미트라스크(단역)', '랜스 헨릭슨(단역)', '미리암 마고리스(단역)', '미쉘 뉴웰(단역)', '루이스 힐예(단역)']",3.6,(582명),"2004 · 드라마 · 미국, 프랑스, 독일, 이탈리아, 루마니아, 영국",2시간 6분 · 15세
